COSING Ref No;INCI name;Function
90383;(CODONOPSIS TANGSHEN/DIOSCOREA JAPONICA) RAIZ/ATRACTYLODES JAPONICA RIZOME/PORIA COCONUTES/(DAILY LABLAB/COIX LACRYMA-JOBI MA-YUEN/EURYALE FEROX/NELUMBO NUCIFERA) EXTRATO DE SEMENTES;UMECTANTE, CONDICIONADOR DA PELE, PROTETOR DA PELE
98157;(CRYPTOMERIA JAPONESA/CHAMAECYPARIS OBTUSA) EXTRATO DE FERMENTO DE TRONCO;ANTIMICROBIANO, ANTIOXIDANTE, HUMECTANTE
97165; (ECLIPTA PROSTRATA/HOUTTUYNIA CORDATA) EXTRATO DE FOLHA;CONDICIONAMENTO DA PELE
93903;(GELIDIUM ELEGANS/LINGULATUM/REX/SESQUIPEDALE)/(GRACILARIA CHILENSIS/VERMICULOPHYLLA)/PTEROCLADIELLA TENUIS OLIGOSACARÍDEOS;UMECTANTE, CONDICIONADOR DA PELE
92134;(GRIFOLA FRONDOSA/UNKNOTES OBLIQUUS/SCHIZOPHYLLUM COMMUNE/TRICHOLOMA MATSUTAKE) MYCELIUM/LETHARIELLA CLADONIOIDES FERMENT EXTRACT FILTRATE;UMECTANTE, CONDICIONADOR DA PELE
97168;(MEL + FERMENTO DE ZYMOMONAS) EXTRATO;CONDICIONAMENTO DA PELE
98516;(FERMENTO DE FARINHA DE SEMENTE DE LACTOBACILLUS/MILHÃO E EXTRATO DE SEMENTE DE PANICUM MILIACEUM) FILTRADO;CONDICIONAMENTO DA PELE
96819;(FERMENTO DE LACTOBACILLUS/POLISORBATO 80 + FERMENTO DE LEUCONOSTOC/POLISORBATO 80) FILTRADO DE LISADO;CONDICIONAMENTO DA PELE
93671;(LAVANDULA ANGUSTIFOLIA/MELISSA OFFICINALIS/HYPERICUM PERFORATUM) FLOR/(FOLHA DE CAMELLIA SINENSIS/(GLYCYRRHIZA GLABRA/ACANTHOPANAX SENTICOSUS) RAIZ/FOLHA DE NINHO DE SARRACENIA COBRA/FLOR/EXTRATO DE CAULE;ANTI-SEBO, ANTIMICROBIANO, CONDICIONADOR DA PELE, PROTETOR DA PELE
89457;(LEPIDIUM MEYENII/SARCODON ASPRATUS) ÁGUA DA RAIZ;ANTI-SEBO, ANTIOXIDANTE, CONDICIONADOR DA PELE, PROTETOR DA PELE
97163;(LESPEDEZA BICOLOR/CASCA DE PHELLODENDRON AMURENSE)/FOLHA DE MENTHA ARVENSIS/(ANEMARRHENA ASPHODELOIDES/RAIZ DE SCUTELLARIA BAICALENSIS) EXTRATO;CONDICIONAMENTO DA PELE
96674;(ALCAÇUZ/REYNOUTRIA JAPONICA) EXTRATO DE RAIZ/CAULE;ANTIOXIDANTE
90728;(LINDERA STRYCHNIFOLIA/PAEONIA ALBIFLORA) RAIZ/RESINA DE COMMIPHORA MYRRHA/SWERTIA JAPONICA/EXTRATO DE UNCARIA GAMBIR;CONDICIONAMENTO DA PELE, CONDICIONAMENTO DA PELE - EMOLIENTE
94895;(LIQUIDAMBAR FORMOSANA/TRIBULUS TERRESTRIS) FRUTA/EXTRATO DE RAIZ DE PAEONIA LACTIFLORA;CONDICIONAMENTO DA PELE
89461;(MAGNOLIA OFFICINALIS/PHELLODENDRON AMURENSE) CASCA/FOLHA DE CAMÉLIA JAPONICA/RAIZ DE ZINGIBER OFICIAL/ÁGUA DE SEMENTE DE CITRUS PARADISE;ANTI-SEBO, ANTIMICROBIANO, ANTIOXIDANTE, CONDICIONADOR DA PELE
95360;(CASCA/SEIVA DE PAEONIA LACTIFLORA)/CASCA DE PHELLODENDRON AMURENSE/FOLHA DE MENTHA ARVENSIS/EXTRATO DE RAIZ DE SCUTELLARIA BAICALENSIS;UMECTANTE, CONDICIONADOR DE PELE, CONDICIONADOR DE PELE - EMOLIENTE
97167;(CÉLULA DE MERISTEMA DE GINSENG PANAX + MEIO DE CULTURA DE CÉLULA DE MERISTEMA DE TAXUS CUSPIDATA CONDICIONADO + PÓ DE FOLHA/RAIZ/CAULE DE GINSENG PANAX) EXTRATO;ANTIOXIDANTE
97098;(SH-PENTAPEPTÍDEO-10 ​​6-AMINOCAPROOIL SH-PENTAPEPTÍDEO-11) SP;UMECTANTE, CONDICIONADOR DA PELE
39661;1,1-DIMETIL-2-FENIL-ETIL ISOBUTIRATO;PERFUMAÇÃO
39242;1,1-DIMETIL-3-FENILPROPIL ISOBUTIRATO;PERFUMAÇÃO
54168;1,10-DECANODIOL;SOLVENTE
40512;1,2,3,4,4A,5,6,7-OCTA-HIDRO-2,5,5-TRIMETIL-2-NAFTOL;PERFUMAÇÃO
40507;1,2,3,4,4A,7,8,8A-OCTA-HIDRO-2,4A,5,8A-TETRAMETIL-NAFTIL FORMATO;PERFUMAÇÃO
31464;1,2,4-BENZENETRIACETATO;TINTURA DE CABELO
31465;1,2,4-TRI-HIDROXIBENZENO;TINTURA DE CABELO
31466;1,2,6-HEXANETRIOL;UMECTANTE, SOLVENTE, CONTROLADOR DE VISCOSIDADE
97358;1,2-BIS-(2-AMINOETOXI)ETANO;NÃO RELATADO
54169;1,2-BUTANODIOL;UMECTANTE, CONDICIONADOR DE PELE, SOLVENTE, CONTROLADOR DE VISCOSIDADE
39563;1,2-DI-HIDROLINALOOL;PERFUMAÇÃO
54170;1,2-HEXANODIOL;CONDICIONADOR DE PELE, SOLVENTE
91167;1,2-HEXANODIIL DICAPRATO;BRANQUEAMENTO
98018;1,3,4,6-TETRAMETIL-2-PIRIMIDONA SULFATO;TINTURA DE CABELO
92607;1,3-BIS-(2,4-DIAMINOFENOXI) PROPANO HCL;NÃO RELATADO
31467;1,3-BIS-(2,4-DIAMINOFENOXI)PROPANO;TINTURA DE CABELO
41535;1,3-BIS-(2,4-DIAMINOFENOXI)PROPANO HCL;TINTURA DE CABELO
95280;1,3-BIS-(ISOCIANATOMETIL) CICLOHEXANO;NÃO RELATADO
39658;1,3-DIMETIL-3-FENILBUTIL ACETATO;PERFUMAÇÃO
39592;1,3-DIMETIL-BICICLOHEPTANO-2-CARBONITRILA;PERFUMAÇÃO
54173;1,4-BUTANODIOL;SOLVENTE
88106;1,4-BUTANODIOL BISDECANOATO;BRANQUEAMENTO
83239;1,4-BUTANODIOL DIMETACRILATO;FORMAÇÃO DE FILME
96917;1,4-BUTANODIOL/ÁCIDO SUCCÍNICO/COPOLÍMERO DE ÁCIDO ADÍPICO;ABRASIVO
92811;1,4-BUTANODIOL/ÁCIDO SUCCÍNICO/ÁCIDO ADÍPICO/COPOLÍMERO HDI;ABRASIVO, LIGAÇÃO, FORMADOR DE FILME
97446;ÁCIDO 1,4-CICLOHEXANODICARBOXÍLICO;NÃO RELATADO
88105;1,4-CICLOHEXANODIOL BIS-ETILHEXANOATO;BRANQUEAMENTO
41232;1,5,9-TRIMETIL-OXABICICLOTRIDECADIENO;PERFUMAÇÃO
39259;1,5-DIMETIL-1-VINIL-HEX-4-ENIL HEXANOATO;PERFUMAÇÃO
31468;1,5-NAFTALENODIOL;TINTURA DE CABELO
81397;1,5-PENTANADIOL;SOLVENTE
96417;1,6-HDI/ÁLCOOL POLIVINÍLICO/POLÍMERO CRUZADO DE ETILENODIAMINA;FORMAÇÃO DE FILME
95281;1,6-HEXAMETILENO DIISOCIANATO;NÃO RELATADO
83542;1,6-HEXANODIAMINA;BUFFER
41708;1,7-NAFTALENODIOL;TINTURA DE CABELO
54176;1-ACETONAFTONA;FRAGRÂNCIA, PERFUMARIA
31469;1-ACETOXI-2-METILNAFTALENO;TINTURA DE CABELO
98015;1-ALIL-3,4,6-TRIMETIL-2-PIRIMIDONA BROMETO;TINTURA DE CABELO
39894;1-ETIL-3-METÓXI-TRICICLOHEPTANO;PERFUMAÇÃO
39841;1-ETILCICLOHEXANO-1,4-DIMETANOL;PERFUMAÇÃO
40009;1-FURFURYL-1H-PYRROLE;PERFUMING
40188;1-HEXEN-3-OL;PERFUMING
92298;1-HEXYL 4,5-DIAMINO PYRAZOLE SULFATE;HAIR DYEING
54177;1-HYDROXYETHYL 4,5-DIAMINO PYRAZOLE SULFATE;HAIR DYEING
39712;1-ISOPROPYL-4-METHYLBICYCLOOCTENE-2-CARBALDEHYDE;PERFUMING
40717;1-METHYL-4-METHYLETHENYL-CYCLOHEXENE SULFURIZED;PERFUMING
40729;1-METHYL-4-METHYLVINYL-CYCLOHEXANOL;PERFUMING
40731;1-METHYL-4-METHYLVINYL-CYCLOHEXENE;PERFUMING
40732;1-METHYL-4-METHYLVINYL-CYCLOHEXYL ACETATE;PERFUMING
40661;1-METHYLDECYL ACETATE;PERFUMING
54178;1-METHYLHYDANTOIN-2-IMIDE;SKIN CONDITIONING
90935;1-NAPHTHALENEACETIC ACID;SKIN CONDITIONING
31470;1-NAPHTHOL;HAIR DYEING
95453;1-NITROPROPANE;SOLVENT
40994;1-NONEN-3-OL;PERFUMING
40582;1-PENTEN-3-OL;PERFUMING
40643;1-PHENYLPROPYL ACETATE;PERFUMING
41201;1-TRIMETHYL-2-CYCLOHEXENYL-1-PENTEN-3-ONE;PERFUMING
41199;1-TRIMETHYL-3-CYCLOHEXENYLETHANONE;PERFUMING
40282;10-HYDROXY-1,8-P-MENTHADIENE;PERFUMING
54174;10-HYDROXYDECANOIC ACID;SKIN CONDITIONING
54175;10-HYDROXYDECENOIC ACID;SKIN CONDITIONING
92027;10-HYDROXYSTEARIC ACID;SKIN CONDITIONING, SKIN PROTECTING
41275;10-UNDECENYL ACETATE;PERFUMING
98168;16-ALPHA ETHYL ESTRADIOLCARBOXYLATE;SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, SKIN PROTECTING
98002;16-BETA METHYL ESTRADIOLPROPANOATE;SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, SKIN PROTECTING
96737;2'-DEOXYADENOSINE;HAIR CONDITIONING
41601;2,2'-METHYLENEBIS-4-AMINOPHENOL;HAIR DYEING
54179;2,2'-METHYLENEBIS-4-AMINOPHENOL HCL;HAIR DYEING
31471;2,2'-THIOBIS(4-CHLOROPHENOL);ANTIMICROBIAL
39241;2,2-DIMETHYL-3-PHENYLPROPIONALDEHYDE;PERFUMING
40511;2,3,4,4A,5,6,7,8-OCTAHYDRO-2,5,5-TRIMETHYL-2-NAPHTHOL;PERFUMING
41205;2,3,6-TRIMETHYLCYCLOHEXYLMETHYL ACETATE;PERFUMING
41239;2,3,6-TRIMETHYLPHENOL;PERFUMING
54180;2,3-BUTANEDIOL;FRAGRANCE, HUMECTANT, SKIN CONDITIONING, SOLVENT
83274;2,3-DIAMINODIHYDROPYRAZOLO PYRAZOLONE DIMETHOSULFONATE;HAIR DYEING
39542;2,3-DIETHYLPYRAZINE;PERFUMING
39582;2,3-DIHYDRO-2,2,6-TRIMETHYLBENZALDEHYDE;PERFUMING
39647;2,3-DIMETHYL-2-NONENENITRILE;PERFUMING
39254;2,3-DIMETHYL-4-(2,6,6-TRIMETHYL-1-CYCLOHEXENYL)-2-BUTENAL;PERFUMING
98022;2,3-DIMETHYL-4-FORMYL-1-PHENYL-5-PYRAZOLONE;HAIR DYEING
95298;2,3-EPOXYPROPYL COCODIMONIUM CHLORIDE;NOT REPORTED
95297;2,3-EPOXYPROPYL LAURYLDIMONIUM CHLORIDE;NOT REPORTED
95296;2,3-EPOXYPROPYLTRIMONIIUM CHLORIDE;NOT REPORTED
41693;2,3-NAPHTHALENEDIOL;HAIR DYEING
41302;2,3-XYLENOL;PERFUMING
41184;2,4,6-TRIMETHYL-3-CYCLOHEXENECARBALDEHYDE;PERFUMING
41202;2,4,6-TRIMETHYL-3-CYCLOHEXENYL-4-PENTEN-3-ONE;PERFUMING
41241;2,4,6-TRIMETHYL-4-PHENYL-1,3-DIOXANE;PERFUMING
41206;2,4,6-TRIMETHYLCYCLOHEXYLMETHYL ACETATE;PERFUMING
41707;2,4-DIAMINO-5-METHYLPHENETOLE HCL;HAIR DYEING
54182;2,4-DIAMINO-5-METHYLPHENOXYETHANOL;HAIR DYEING
31472;2,4-DIAMINO-5-METHYLPHENOXYETHANOL HCL;HAIR DYEING
41694;2,4-DIAMINODIPHENYLAMINE;HAIR DYEING
31473;2,4-DIAMINOPHENOL;HAIR DYEING
31475;2,4-DIAMINOPHENOL HCL;HAIR DYEING
31476;2,4-DIAMINOPHENOXYETHANOL HCL;HAIR DYEING
54183;2,4-DIAMINOPHENOXYETHANOL SULFATE;HAIR DYEING
39541;2,4-DIETHYLPHENYL METHYL KETONE;PERFUMING
39607;2,4-DIMETHYL CYCLOHEXENECARBONITRILE;PERFUMING
39251;2,4-DIMETHYL-2-(5,6,7,8-TETRAHYDRO-3,5,5,6,8,8-HEXAMETHYL-2-NAPHTHALENYL)-1,3-DIOXOLANE;PERFUMING
74061;2,4-DIMETHYL-3-CYCLOHEXENE CARBOXALDEHYDE;FRAGRANCE, PERFUMING, TONIC
39608;2,4-DIMETHYL-3-CYCLOHEXENE-1-METHANOL;PERFUMING
39610;2,4-DIMETHYL-3-CYCLOHEXENE-1-METHYLACETATE;PERFUMING
39585;2,4-DIMETHYL-4,4A,5,9B-TETRAHYDROINDENO-1,3-DIOXIN;PERFUMING
39243;2,4-DIMETHYL-4-PHENYLTETRAHYDROFURAN;PERFUMING
39587;2,4-DIMETHYLBENZYLACETATE;PERFUMING
39619;2,4-DIMETHYLCYCLOHEXYLMETHYL ACETATE;PERFUMING
39627;2,4-DIMETHYLHEPTA-2,2-DIENAL;PERFUMING
39247;2,4-DIMETHYLPYRIDINE;PERFUMING
40140;2,4-HEXADIENAL;PERFUMING
40142;2,4-HEXADIENOL;PERFUMING
40143;2,4-HEXADIENYL ACETATE;PERFUMING
41303;2,4-XYLENOL;PERFUMING
41240;2,5,5-TRIMETHYL-2-PHENYL-1,3-DIOXANE;PERFUMING
54184;2,5,6-TRIAMINO-4-PYRIMIDINOL SULFATE;HAIR DYEING
41193;2,5,6-TRIMETHYL-2-CYCLOHEXENONE;PERFUMING
39571;2,5-DIHYDRO-4-METHYLTHIAZOL-5-ETHANOL;PERFUMING
82881;2,5-DIHYDROXYBENZOIC ACID;SKIN CONDITIONING
96542;2,5-DIHYDROXYBENZOYL DIPEPTIDE-27;HUMECTANT, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, SKIN PROTECTING
96541;2,5-DIHYDROXYBENZOYL DIPEPTIDE-48;HUMECTANT, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, SKIN PROTECTING
39258;2,5-DIMETHYL-2-VINYLHEX-4-ENAL;PERFUMING
39245;2,5-DIMETHYLPYRAZINE;PERFUMING
41304;2,5-XYLENOL;PERFUMING
41180;2,6,6-TRIMETHYL-1-CYCLOHEXENE-1-ACETALDEHYDE;PERFUMING
41181;2,6,6-TRIMETHYL-2-CYCLOHEXENE-1-ACETALDEHYDE;PERFUMING
41182;2,6,6-TRIMETHYL-2-CYCLOHEXENE-1-CARBALDEHYDE;PERFUMING
41185;2,6,6-TRIMETHYLCYCLOHEXENE-1-CARBALDEHYDE;PERFUMING
41695;2,6-BIS(2-HYDROXYETHOXY)-3,5-PYRIDINEDIAMINE HCL;HAIR DYEING
31478;2,6-DIAMINO-3-((PYRIDIN-3-YL)AZO)PYRIDINE;HAIR DYEING
31479;2,6-DIAMINOPYRIDINE;HAIR DYEING
31480;2,6-DIAMINOPYRIDINE SULFATE;HAIR DYEING
31481;2,6-DICARBOXYPYRIDINE;CHELATING
41525;2,6-DIHYDROXY-3,4-DIMETHYLPYRIDINE;HAIR DYEING
54186;2,6-DIHYDROXYETHYLAMINOTOLUENE;HAIR DYEING
31482;2,6-DIMETHOXY-3,5-PYRIDINEDIAMINE HCL;HAIR DYEING
39630;2,6-DIMETHYL-4-HEPTANOL;PERFUMING
39631;2,6-DIMETHYL-4-HEPTANONE;PERFUMING
74068;2,6-DIMETHYL-7-OCTEN-2-OL;FRAGRANCE, PERFUMING
54187;2,6-DIMETHYL-P-PHENYLENEDIAMINE;HAIR DYEING
54188;2,6-DIMETHYL-P-PHENYLENEDIAMINE HCL;HAIR DYEING
39628;2,6-DIMETHYLHEPTA-1,5-DIENE;PERFUMING
39629;2,6-DIMETHYLHEPTANOL;PERFUMING
39246;2,6-DIMETHYLPYRAZINE;PERFUMING
41305;2,6-XYLENOL;PERFUMING
39639;2,7-DIMETHYL-10-ISOPROPYL-1-OXASPIRO-3,6-DECADIENE;PERFUMING
39654;2,7-DIMETHYL-5-OCTEN-4-ONE;PERFUMING
39656;2,7-DIMETHYL-6-OCTEN-4-ONE;PERFUMING
31484;2,7-NAPHTHALENEDIOL;HAIR DYEING
39926;2-(1-ETHYLPROPYL)PYRIDINE;PERFUMING
82367;2-(2-AMINOETHOXY)ETHANOL;HAIR FIXING
54189;2-ACETONAPHTHONE;FRAGRANCE, PERFUMING
54190;2-ACETYLHYDROQUINONE;ANTIOXIDANT, BLEACHING, SKIN CONDITIONING
95290;2-ACRYLAMIDO-2-METHYLPROPANE SULFONIC ACID;NOT REPORTED
98467;2-ALLYLOXYETHOXY GLUCOSIDE;NOT REPORTED
31485;2-AMINO-3-HYDROXYPYRIDINE;HAIR DYEING
31486;2-AMINO-3-NITROPHENOL;HAIR DYEING
54191;2-AMINO-4,5-DIMETHYLTHIAZOLE HBR;SKIN CONDITIONING
31487;2-AMINO-4-HYDROXYETHYLAMINOANISOLE;HAIR DYEING
31488;2-AMINO-4-HYDROXYETHYLAMINOANISOLE SULFATE;HAIR DYEING
84490;2-AMINO-4-NITROPHENOL;HAIR DYEING
54192;2-AMINO-4-NITROPHENOL SULFATE;HAIR DYEING
83518;2-AMINO-5-ETHYLPHENOL HCL;HAIR DYEING
54193;2-AMINO-5-NITROPHENOL;HAIR DYEING
31489;2-AMINO-6-CHLORO-4-NITROPHENOL;HAIR DYEING
