COSING Ref No;INCI name;Function
90383;(CODONOPSIS TANGSHEN/DIOSCOREA JAPONICA) RAIZ/ATRACTYLODES JAPONICA RIZOME/PORIA COCONUTES/(DAILY LABLAB/COIX LACRYMA-JOBI MA-YUEN/EURYALE FEROX/NELUMBO NUCIFERA) EXTRATO DE SEMENTES;UMECTANTE, CONDICIONADOR DA PELE, PROTETOR DA PELE
98157;(CRYPTOMERIA JAPONESA/CHAMAECYPARIS OBTUSA) EXTRATO DE FERMENTO DE TRONCO;ANTIMICROBIANO, ANTIOXIDANTE, HUMECTANTE
97165; (ECLIPTA PROSTRATA/HOUTTUYNIA CORDATA) EXTRATO DE FOLHA;CONDICIONAMENTO DA PELE
93903;(GELIDIUM ELEGANS/LINGULATUM/REX/SESQUIPEDALE)/(GRACILARIA CHILENSIS/VERMICULOPHYLLA)/PTEROCLADIELLA TENUIS OLIGOSACARÍDEOS;UMECTANTE, CONDICIONADOR DA PELE
92134;(GRIFOLA FRONDOSA/UNKNOTES OBLIQUUS/SCHIZOPHYLLUM COMMUNE/TRICHOLOMA MATSUTAKE) MYCELIUM/LETHARIELLA CLADONIOIDES FERMENT EXTRACT FILTRATE;UMECTANTE, CONDICIONADOR DA PELE
97168;(MEL + FERMENTO DE ZYMOMONAS) EXTRATO;CONDICIONAMENTO DA PELE
98516;(FERMENTO DE FARINHA DE SEMENTE DE LACTOBACILLUS/MILHÃO E EXTRATO DE SEMENTE DE PANICUM MILIACEUM) FILTRADO;CONDICIONAMENTO DA PELE
96819;(FERMENTO DE LACTOBACILLUS/POLISORBATO 80 + FERMENTO DE LEUCONOSTOC/POLISORBATO 80) FILTRADO DE LISADO;CONDICIONAMENTO DA PELE
93671;(LAVANDULA ANGUSTIFOLIA/MELISSA OFFICINALIS/HYPERICUM PERFORATUM) FLOR/(FOLHA DE CAMELLIA SINENSIS/(GLYCYRRHIZA GLABRA/ACANTHOPANAX SENTICOSUS) RAIZ/FOLHA DE NINHO DE SARRACENIA COBRA/FLOR/EXTRATO DE CAULE;ANTI-SEBO, ANTIMICROBIANO, CONDICIONADOR DA PELE, PROTETOR DA PELE
89457;(LEPIDIUM MEYENII/SARCODON ASPRATUS) ÁGUA DA RAIZ;ANTI-SEBO, ANTIOXIDANTE, CONDICIONADOR DA PELE, PROTETOR DA PELE
97163;(LESPEDEZA BICOLOR/CASCA DE PHELLODENDRON AMURENSE)/FOLHA DE MENTHA ARVENSIS/(ANEMARRHENA ASPHODELOIDES/RAIZ DE SCUTELLARIA BAICALENSIS) EXTRATO;CONDICIONAMENTO DA PELE
96674;(ALCAÇUZ/REYNOUTRIA JAPONICA) EXTRATO DE RAIZ/CAULE;ANTIOXIDANTE
90728;(LINDERA STRYCHNIFOLIA/PAEONIA ALBIFLORA) RAIZ/RESINA DE COMMIPHORA MYRRHA/SWERTIA JAPONICA/EXTRATO DE UNCARIA GAMBIR;CONDICIONAMENTO DA PELE, CONDICIONAMENTO DA PELE - EMOLIENTE
94895;(LIQUIDAMBAR FORMOSANA/TRIBULUS TERRESTRIS) FRUTA/EXTRATO DE RAIZ DE PAEONIA LACTIFLORA;CONDICIONAMENTO DA PELE
89461;(MAGNOLIA OFFICINALIS/PHELLODENDRON AMURENSE) CASCA/FOLHA DE CAMÉLIA JAPONICA/RAIZ DE ZINGIBER OFICIAL/ÁGUA DE SEMENTE DE CITRUS PARADISE;ANTI-SEBO, ANTIMICROBIANO, ANTIOXIDANTE, CONDICIONADOR DA PELE
95360;(CASCA/SEIVA DE PAEONIA LACTIFLORA)/CASCA DE PHELLODENDRON AMURENSE/FOLHA DE MENTHA ARVENSIS/EXTRATO DE RAIZ DE SCUTELLARIA BAICALENSIS;UMECTANTE, CONDICIONADOR DE PELE, CONDICIONADOR DE PELE - EMOLIENTE
97167;(CÉLULA DE MERISTEMA DE GINSENG PANAX + MEIO DE CULTURA DE CÉLULA DE MERISTEMA DE TAXUS CUSPIDATA CONDICIONADO + PÓ DE FOLHA/RAIZ/CAULE DE GINSENG PANAX) EXTRATO;ANTIOXIDANTE
97098;(SH-PENTAPEPTÍDEO-10 ??6-AMINOCAPROOIL SH-PENTAPEPTÍDEO-11) SP;UMECTANTE, CONDICIONADOR DA PELE
39661;1,1-DIMETIL-2-FENIL-ETIL ISOBUTIRATO;PERFUMAÇÃO
39242;1,1-DIMETIL-3-FENILPROPIL ISOBUTIRATO;PERFUMAÇÃO
54168;1,10-DECANODIOL;SOLVENTE
40512;1,2,3,4,4A,5,6,7-OCTA-HIDRO-2,5,5-TRIMETIL-2-NAFTOL;PERFUMAÇÃO
40507;1,2,3,4,4A,7,8,8A-OCTA-HIDRO-2,4A,5,8A-TETRAMETIL-NAFTIL FORMATO;PERFUMAÇÃO
31464;1,2,4-BENZENETRIACETATO;TINTURA DE CABELO
31465;1,2,4-TRI-HIDROXIBENZENO;TINTURA DE CABELO
31466;1,2,6-HEXANETRIOL;UMECTANTE, SOLVENTE, CONTROLADOR DE VISCOSIDADE
97358;1,2-BIS-(2-AMINOETOXI)ETANO;NÃO RELATADO
54169;1,2-BUTANODIOL;UMECTANTE, CONDICIONADOR DE PELE, SOLVENTE, CONTROLADOR DE VISCOSIDADE
39563;1,2-DI-HIDROLINALOOL;PERFUMAÇÃO
54170;1,2-HEXANODIOL;CONDICIONADOR DE PELE, SOLVENTE
91167;1,2-HEXANODIIL DICAPRATO;BRANQUEAMENTO
98018;1,3,4,6-TETRAMETIL-2-PIRIMIDONA SULFATO;TINTURA DE CABELO
92607;1,3-BIS-(2,4-DIAMINOFENOXI) PROPANO HCL;NÃO RELATADO
31467;1,3-BIS-(2,4-DIAMINOFENOXI)PROPANO;TINTURA DE CABELO
41535;1,3-BIS-(2,4-DIAMINOFENOXI)PROPANO HCL;TINTURA DE CABELO
95280;1,3-BIS-(ISOCIANATOMETIL) CICLOHEXANO;NÃO RELATADO
39658;1,3-DIMETIL-3-FENILBUTIL ACETATO;PERFUMAÇÃO
39592;1,3-DIMETIL-BICICLOHEPTANO-2-CARBONITRILA;PERFUMAÇÃO
54173;1,4-BUTANODIOL;SOLVENTE
88106;1,4-BUTANODIOL BISDECANOATO;BRANQUEAMENTO
83239;1,4-BUTANODIOL DIMETACRILATO;FORMAÇÃO DE FILME
96917;1,4-BUTANODIOL/ÁCIDO SUCCÍNICO/COPOLÍMERO DE ÁCIDO ADÍPICO;ABRASIVO
92811;1,4-BUTANODIOL/ÁCIDO SUCCÍNICO/ÁCIDO ADÍPICO/COPOLÍMERO HDI;ABRASIVO, LIGAÇÃO, FORMADOR DE FILME
97446;ÁCIDO 1,4-CICLOHEXANODICARBOXÍLICO;NÃO RELATADO
88105;1,4-CICLOHEXANODIOL BIS-ETILHEXANOATO;BRANQUEAMENTO
41232;1,5,9-TRIMETIL-OXABICICLOTRIDECADIENO;PERFUMAÇÃO
39259;1,5-DIMETIL-1-VINIL-HEX-4-ENIL HEXANOATO;PERFUMAÇÃO
31468;1,5-NAFTALENODIOL;TINTURA DE CABELO
81397;1,5-PENTANADIOL;SOLVENTE
96417;1,6-HDI/ÁLCOOL POLIVINÍLICO/POLÍMERO CRUZADO DE ETILENODIAMINA;FORMAÇÃO DE FILME
95281;1,6-HEXAMETILENO DIISOCIANATO;NÃO RELATADO
83542;1,6-HEXANODIAMINA;BUFFER
41708;1,7-NAFTALENODIOL;TINTURA DE CABELO
54176;1-ACETONAFTONA;FRAGRÂNCIA, PERFUMARIA
31469;1-ACETOXI-2-METILNAFTALENO;TINTURA DE CABELO
98015;1-ALIL-3,4,6-TRIMETIL-2-PIRIMIDONA BROMETO;TINTURA DE CABELO
39894;1-ETIL-3-METÓXI-TRICICLOHEPTANO;PERFUMAÇÃO
39841;1-ETILCICLOHEXANO-1,4-DIMETANOL;PERFUMAÇÃO
40009;1-FURFURIL-1H-PIRROL;PERFUMAÇÃO
40188;1-HEXENO-3-OL;PERFUMAÇÃO
92298;1-HEXIL 4,5-DIAMINO PIRAZOL SULFATO;TINTURA DE CABELO
54177;1-HIDROXIETIL 4,5-DIAMINO PIRAZOL SULFATO;TINTURA DE CABELO
39712;1-ISOPROPIL-4-METILBICICLOOCTENE-2-CARBALDEÍDO;PERFUMAÇÃO
40717;1-METIL-4-METILETENIL-CICLOHEXENO SULFURIZADO;PERFUMAÇÃO
40729;1-METIL-4-METILVINIL-CICLOHEXANOL;PERFUMAÇÃO
40731;1-METIL-4-METILVINIL-CICLOHEXENO;PERFUMAÇÃO
40732;1-METIL-4-METILVINIL-CICLOHEXIL ACETATO;PERFUMAÇÃO
40661;1-METILDECIL ACETATO;PERFUMAÇÃO
54178;1-METIL-HIDANTOÍNA-2-IMIDA;CONDICIONAMENTO DA PELE
90935;ÁCIDO 1-NAFTALENOACÉTICO;CONDICIONAMENTO DA PELE
31470;1-NAFTOL;TINTURA DE CABELO
95453;1-NITROPROPANO;SOLVENTE
40994;1-NONEN-3-OL;PERFUMAÇÃO
40582;1-TINTA-3-OL;PERFUMAÇÃO
40643;1-FENILPROPILA ACETATO;PERFUMAÇÃO
41201;1-TRIMETIL-2-CICLOHEXENIL-1-PENTEN-3-ONA;PERFUMAÇÃO
41199;1-TRIMETIL-3-CICLOHEXENILETANONA;PERFUMAÇÃO
40282;10-HIDROXI-1,8-P-MENTADIENO;PERFUMAÇÃO
54174;ÁCIDO 10-HIDROXIDECANOICO;CONDICIONAMENTO DA PELE
54175;ÁCIDO 10-HIDROXIDECENÓICO;CONDICIONAMENTO DA PELE
92027;ÁCIDO 10-HIDROXISTEÁRICO;CONDICIONAMENTO DA PELE, PROTEÇÃO DA PELE
41275;10-UNDECENIL ACETATO;PERFUMAÇÃO
98168;16-ALFA ETIL ESTRADIOLCARBOXILATO;CONDICIONAMENTO DA PELE, CONDICIONAMENTO DA PELE - EMOLIENTE, PROTEÇÃO DA PELE
98002;16-BETA METIL ESTRADIOLPROPANOATO;CONDICIONAMENTO DA PELE, CONDICIONAMENTO DA PELE - EMOLIENTE, PROTEÇÃO DA PELE
96737;2'-DEOXIADENOSINA;CONDICIONAMENTO CAPILAR
41601;2,2'-METILENOBIS-4-AMINOFENOL;TINTURA DE CABELO
54179;2,2'-METILENOBIS-4-AMINOFENOL HCL;TINTURA DE CABELO
31471;2,2'-TIOBIS(4-CLOROFENOL);ANTIMICROBIANO
39241;2,2-DIMETIL-3-FENILPROPIONALDEÍDO;PERFUMAÇÃO
40511;2,3,4,4A,5,6,7,8-OCTA-HIDRO-2,5,5-TRIMETIL-2-NAFTOL;PERFUMAÇÃO
41205;2,3,6-TRIMETILCICLOHEXILMETIL ACETATO;PERFUMAÇÃO
41239;2,3,6-TRIMETILFENOL;PERFUMAÇÃO
54180;2,3-BUTANODIOL;FRAGRÂNCIA, UMECTANTE, CONDICIONADOR DE PELE, SOLVENTE
83274;2,3-DIAMINODI-HIDROPIRAZOLO PIRAZOLONA DIMETOSSULFONATO;TINTURA DE CABELO
39542;2,3-DIETILPIRAZINA;PERFUMAÇÃO
39582;2,3-DI-HIDRO-2,2,6-TRIMETILBENZALDEÍDO;PERFUMAÇÃO
39647;2,3-DIMETIL-2-NONENONITRILA;PERFUMAÇÃO
39254;2,3-DIMETIL-4-(2,6,6-TRIMETIL-1-CICLOHEXENIL)-2-BUTENAL;PERFUMAÇÃO
98022;2,3-DIMETIL-4-FORMIL-1-FENIL-5-PIRAZOLONA;TINTURA DE CABELO
95298;CLORETO DE COCODIMÔNIO DE 2,3-EPOXIPROPIL;NÃO RELATADO
95297;CLORETO DE 2,3-EPOXIPROPIL LAURILDIMÔNIO;NÃO RELATADO
95296;CLORETO DE 2,3-EPOXIPROPILTRIMONIO;NÃO RELATADO
41693;2,3-NAFTALENODIOL;TINTURA DE CABELO
41302;2,3-XILENOL;PERFUMAÇÃO
41184;2,4,6-TRIMETIL-3-CICLOHEXENOCARBALDEÍDO;PERFUMAÇÃO
41202;2,4,6-TRIMETIL-3-CICLOHEXENIL-4-PENTEN-3-ONA;PERFUMAÇÃO
41241;2,4,6-TRIMETIL-4-FENIL-1,3-DIOXANO;PERFUMAÇÃO
41206;2,4,6-TRIMETILCICLOHEXILMETIL ACETATO;PERFUMAÇÃO
41707;2,4-DIAMINO-5-METILFENETOL HCL;TINTURA DE CABELO
54182;2,4-DIAMINO-5-METILFENOXIETANOL;TINTURA DE CABELO
31472;2,4-DIAMINO-5-METILFENOXIETANOL HCL;TINTURA DE CABELO
41694;2,4-DIAMINODIFENILAMINA;TINTURA DE CABELO
31473;2,4-DIAMINOFENOL;TINTURA DE CABELO
31475;2,4-DIAMINOFENOL HCL;TINTURA DE CABELO
31476;2,4-DIAMINOFENOXIETANOL HCL;TINTURA DE CABELO
54183;2,4-DIAMINOFENOXIETANOL SULFATO;TINTURA DE CABELO
39541;2,4-DIETILFENILMETILCETONA;PERFUMAÇÃO
39607;2,4-DIMETIL CICLO-HEXENOCARBONITRILA;PERFUMAÇÃO
39251;2,4-DIMETIL-2-(5,6,7,8-TETRAHIDRO-3,5,5,6,8,8-HEXAMETIL-2-NAFTALENIL)-1,3-DIOXOLANO;PERFUMAÇÃO
74061;2,4-DIMETIL-3-CICLOHEXENO CARBOXALDEÍDO;FRAGRÂNCIA, PERFUMANTE, TÔNICO
39608;2,4-DIMETIL-3-CICLOHEXENO-1-METANOL;PERFUMAÇÃO
39610;2,4-DIMETIL-3-CICLOHEXENO-1-METILACETATO;PERFUMAÇÃO
39585;2,4-DIMETIL-4,4A,5,9B-TETRA-HIDROINDENO-1,3-DIOXINA;PERFUMAÇÃO
39243;2,4-DIMETIL-4-FENILTETRA-HIDROFURANO;PERFUMAÇÃO
39587;2,4-DIMETILBENZILACETATO;PERFUMAÇÃO
39619;2,4-DIMETILCICLOHEXILMETIL ACETATO;PERFUMAÇÃO
39627;2,4-DIMETILHEPTA-2,2-DIENAL;PERFUMAÇÃO
39247;2,4-DIMETILPIRIDINA;PERFUMAÇÃO
40140;2,4-HEXADIENAL;PERFUMAÇÃO
40142;2,4-HEXADIENOL;PERFUMAÇÃO
40143;2,4-HEXADIENIL ACETATO;PERFUMAÇÃO
41303;2,4-XILENOL;PERFUMAÇÃO
41240;2,5,5-TRIMETIL-2-FENIL-1,3-DIOXANO;PERFUMAÇÃO
54184;SULFATO DE 2,5,6-TRIAMINO-4-PIRIMIDINOL;TINTURA DE CABELO
41193;2,5,6-TRIMETIL-2-CICLOHEXENONA;PERFUMAÇÃO
39571;2,5-DI-HIDRO-4-METILTIAZOL-5-ETANOL;PERFUMAÇÃO
82881;ÁCIDO 2,5-DI-HIDROXIBENZOICO;CONDICIONAMENTO DA PELE
96542;2,5-DI-HIDROXIBENZOIL DIPEPTÍDEO-27;UMECTANTE, CONDICIONADOR DA PELE, CONDICIONADOR DA PELE - EMOLIENTE, PROTETOR DA PELE
96541;2,5-DI-HIDROXIBENZOIL DIPEPTÍDEO-48;UMECTANTE, CONDICIONADOR DA PELE, CONDICIONADOR DA PELE - EMOLIENTE, PROTETOR DA PELE
39258;2,5-DIMETIL-2-VINIL-HEX-4-ENAL;PERFUMAÇÃO
39245;2,5-DIMETILPIRAZINA;PERFUMAÇÃO
41304;2,5-XILENOL;PERFUMAÇÃO
41180;2,6,6-TRIMETIL-1-CICLOHEXENO-1-ACETALDEÍDO;PERFUMAÇÃO
41181;2,6,6-TRIMETIL-2-CICLOHEXENO-1-ACETALDEÍDO;PERFUMAÇÃO
41182;2,6,6-TRIMETIL-2-CICLOHEXENO-1-CARBALDEÍDO;PERFUMAÇÃO
41185;2,6,6-TRIMETILCICLOHEXENO-1-CARBALDEÍDO;PERFUMAÇÃO
41695;2,6-BIS(2-HIDROXIETOXI)-3,5-PIRIDINODIAMINA HCL;TINTURA DE CABELO
31478;2,6-DIAMINO-3-((PIRIDIN-3-IL)AZO)PIRIDINA;TINTURA DE CABELO
31479;2,6-DIAMINOPIRIDINA;TINTURA DE CABELO
31480;2,6-DIAMINOPIRIDINA SULFATO;TINTURA DE CABELO
31481;2,6-DICARBOXIPIRIDINA;QUELANTE
41525;2,6-DI-HIDROXI-3,4-DIMETILPIRIDINA;TINTURA DE CABELO
54186;2,6-DI-HIDROXIETILAMINOTOLUENO;TINTURA DE CABELO
31482;2,6-DIMETOXI-3,5-PIRIDINODIAMINA HCL;TINTURA DE CABELO
39630;2,6-DIMETIL-4-HEPTANOL;PERFUMAÇÃO
39631;2,6-DIMETIL-4-HEPTANONA;PERFUMAÇÃO
74068;2,6-DIMETIL-7-OCTEN-2-OL;FRAGRÂNCIA, PERFUMARIA
54187;2,6-DIMETIL-P-FENILENEDIAMINA;TINTURA DE CABELO
54188;2,6-DIMETIL-P-FENILENEDIAMINA HCL;TINTURA DE CABELO
39628;2,6-DIMETILHEPTA-1,5-DIENO;PERFUMAÇÃO
39629;2,6-DIMETILHEPTANOL;PERFUMAÇÃO
39246;2,6-DIMETILPIRAZINA;PERFUMAÇÃO
41305;2,6-XILENOL;PERFUMAÇÃO
39639;2,7-DIMETIL-10-ISOPROPIL-1-OXASPIRO-3,6-DECADIENO;PERFUMAÇÃO
39654;2,7-DIMETIL-5-OCTEN-4-ONA;PERFUMAÇÃO
39656;2,7-DIMETIL-6-OCTEN-4-ONA;PERFUMAÇÃO
31484;2,7-NAFTALENODIOL;TINTURA DE CABELO
39926;2-(1-ETILPROPIL)PIRIDINA;PERFUMAÇÃO
82367;2-(2-AMINOETOXI)ETANOL;FIXAR CABELO
54189;2-ACETONAFTONA;FRAGRÂNCIA, PERFUMARIA
54190;2-ACETIL-HIDROQUINONA;ANTIOXIDANTE, BRANQUEADOR, CONDICIONADOR DA PELE
95290;ÁCIDO 2-ACRILAMIDO-2-METILPROPANO SULFÔNICO;NÃO RELATADO
98467;2-ALILOXIETOXI GLUCOSÍDEO;NÃO RELATADO
