COSING Ref No;INCI name;Function
96659;(APPLE/CITRUS JUNOS/LENTIL/PEAR/PUMPKIN/STRAWBERRY/TOMATO FRUIT)/CORN KERNEL/(ARCTIUM LAPPA/BRASSICA OLERACEA ACEPHALA/CABBAGE/CAMELLIA SINENSIS/MORINGA OLEIFERA/RADISH/SPINACH LEAF)/(SORGHUM BICOLOR LEAF/STEM)/OAT MEAL/POTATO PULP/(CARROT/NELUMBO NUCIFERA/RADISH/WILD YAM ROOT)/(AMARANTHUS HYPOCHONDRIACUS/CASHEW/CICER ARIETINUM/COIX LACRYMA-JOBI MA-YUEN /MACADAMIA TERNIFOLIA/PHASEOLUS ANGULARIS/PISTACIA VERA/RHYNCHOSIA NULUBILIS/RICE/SESAME/SETARIA ITALICA/SOYBEAN/SWEET ALMOND/WHEAT SEED)/HORDEUM VULGARE SPROUT/CYPERUS ESCULENTUS TUBER/ARTEMISIA PRINCEPS/BROCCOLI/CHENOPODIUM QUINOA/ENTEROMORPHA COMPRESSA/HORDEUM VULGARE/IPOMOEA BATATAS/LAMINARIA JAPONICA/LENTINUS EDODES/PLEUROTUS OSTREATUS/PORPHYRA TENERA/UNDARIA PINNATIFIDA EXTRACT;ANTIOXIDANT
98655;(ARCTIUM LAPPA/CARROT/COLOCASIA ESCULENTA/DIOSCOREA BATATAS/GARLIC/GINGER/IPOMOEA BATATAS/NELUMBO NUCIFERA/ONION/POTATO BULBS)/(CHESTNUT/CITRUS UNSHIU/EGGPLANT/FIG/GRAPE/KIWI/LYCOPERSICON ESCULENTUM/MALUS PUMILA/MUME/PEACH/PLUM/PUMPKIN/PYRUS SEROTINA/RADISH/ZIZIPHUS JUJUBA FRUIT)/(ALLIUM TUBEROSUM/ALOE BARBADENSIS/ANGELICA UTILIS/BRASSICA OLERACEA ACEPHALA/CABBAGE/CELERY/SACCHARINA JAPONICA/UNDARIA PINNATIFIDA LEAF)/(ALLIUM FISTULOSUM/ENTEROMORPHA COMPRESSA/OENANTHE JAVANICA STALK)/LENTINULA EDODES/SUCROSE FERMENT FILTRATE;HUMECTANT, SKIN CONDITIONING - HUMECTANT, SKIN PROTECTING
96118;(ASPERGILLUS/SACCHAROMYCES)/RICE FERMENT/BARLEY GRAIN MEAL/NELUMBO NUCIFERA FLOWER EXTRACT FERMENT EXTRACT FILTRATE;BLEACHING
98651;(ASTRAGALUS MEMBRANACEUS/GLYCYRRHIZA URALENSIS (LICORICE)/PANAX GINSENG) ROOT/AMOMUM XANTHIOIDES SEED/HORDEUM VULGARE SPROUT/ARALIA CORDATA/ACHYRANTHES JAPONICA EXTRACT;SKIN CONDITIONING - MISCELLANEOUS
96671;(BIDENS TRIPARTITA FLOWER/LEAF/STEM)/PERILLA FRUTESCENS LEAF/PRUNELLA VULGARIS EXTRACT;SKIN CONDITIONING
96818;(BIFIDOBACTERIUM/POLYSORBATE 80 FERMENT + LACTOBACILLUS/POLYSORBATE 80 FERMENT) LYSATE FILTRATE;SKIN CONDITIONING
97166;(BROCCOLI/ERUCA SATIVA/LEPIDIUM SATIVUM/NASTURTIUM OFFICINALE/RADISH) SPROUT EXTRACT;SKIN CONDITIONING, SKIN PROTECTING
94110;(CALENDULA OFFICINALIS/SAFFLOWER FLOWER)/(ACHILLEA MILLEFOLIUM FLOWER/LEAF/STEM)/(VACCINIUM MYRTILLUS/VITEX AGNUS-CASTUS FRUIT)/RHUS CHINENSIS GALL/WALNUT HUSK/(CAMELLIA SINENSIS/NETTLE LEAF)/(JUNIPERUS COMMUNIS LEAF/STEM)/HORSE CHESTNUT NUT/DICHROA FEBRIFUGA ROOT/GRAPE SEED/ACACIA CATECHU WOOD/GOLDENROD/HYPERICUM PERFORATUM EXTRACT;HAIR DYEING
94144;(CAMELLIA JAPONICA/PRUNUS MUME/SAFFLOWER FLOWER)/(ARONIA ARBUTIFOLIA/BLUEBERRY/CRANBERRY/EUTERPE OLERACEA FRUIT)/CAMELLIA SINENSIS LEAF/GARCINIA MANGOSTANA PEEL/COFFEE SEED/PROPOLIS/WINE EXTRACT;SKIN CONDITIONING
94450;(CANANGA ODORATA FLOWER/LEAF)/GANODERMA LUCIDUM FRUITING BODY/(CORCHORUS OLITORIUS/HENNA/MELIA AZADIRACHTA/MORUS ALBA/MUNTINGIA CALABURA/PSIDIUM GUAJAVA/TAMARINDUS INDICA LEAF)/(CITRUS HYSTRIX LEAF/PEEL)/(CITRONELLA/CYMBOPOGON SCHOENANTHUS/OCIMUM TENUIFLORUM LEAF/STEM)/(ALPINIA GALANGA/BOESENBERGIA ROTUNDA/GINGER/TURMERIC RHIZOME)/ZINGIBER CASSUMUNAR ROOT EXTRACT;SKIN CONDITIONING
89269;(CARTHAMUS TINCTORIUS/CHAMOMILLA RECUTITA/SYZYGIUM AROMATICUM) FLOWER/(LITHOSPERMUM ERYTHRORHIZON/SOPHORA FLAVESCENS/SCUTELLARIA BAICALENSIS) ROOT EXTRACT;
96366;(CITRUS AURANTIUM AMARA/FORSYTHIA SUSPENSA) FRUIT/SCUTELLARIA BAICALENSIS ROOT EXTRACT;SKIN CONDITIONING
97164;(CNIDIUM OFFICINALE/COPTIS CHINENSIS/GLYCYRRHIZA URALENSIS) ROOT EXTRACT;SKIN CONDITIONING
90383;(CODONOPSIS TANGSHEN/DIOSCOREA JAPONICA) ROOT/ATRACTYLODES JAPONICA RHIZOME/PORIA COCOS/(DOLICHOS LABLAB/COIX LACRYMA-JOBI MA-YUEN/EURYALE FEROX/NELUMBO NUCIFERA) SEED EXTRACT;HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING
98157;(CRYPTOMERIA JAPONICA/CHAMAECYPARIS OBTUSA) STEM FERMENT EXTRACT;ANTIMICROBIAL, ANTIOXIDANT, HUMECTANT
97165;(ECLIPTA PROSTRATA/HOUTTUYNIA CORDATA) LEAF EXTRACT;SKIN CONDITIONING
93903;(GELIDIUM ELEGANS/LINGULATUM/REX/SESQUIPEDALE)/(GRACILARIA CHILENSIS/VERMICULOPHYLLA)/PTEROCLADIELLA TENUIS OLIGOSACCHARIDES;HUMECTANT, SKIN CONDITIONING
92134;(GRIFOLA FRONDOSA/INONOTUS OBLIQUUS/SCHIZOPHYLLUM COMMUNE/TRICHOLOMA MATSUTAKE) MYCELIUM/LETHARIELLA CLADONIOIDES FERMENT EXTRACT FILTRATE;HUMECTANT, SKIN CONDITIONING
97168;(HONEY + ZYMOMONAS FERMENT) EXTRACT;SKIN CONDITIONING
98516;(LACTOBACILLUS/MILLET SEED FLOUR FERMENT & PANICUM MILIACEUM SEED EXTRACT) FILTRATE ;SKIN CONDITIONING
96819;(LACTOBACILLUS/POLYSORBATE 80 FERMENT + LEUCONOSTOC/POLYSORBATE 80 FERMENT) LYSATE FILTRATE;SKIN CONDITIONING
93671;(LAVANDULA ANGUSTIFOLIA/MELISSA OFFICINALIS/HYPERICUM PERFORATUM) FLOWER/(CAMELLIA SINENSIS LEAF/(GLYCYRRHIZA GLABRA/ACANTHOPANAX SENTICOSUS) ROOT/SARRACENIA COBRA NEST LEAF/FLOWER/STALK EXTRACT;ANTI-SEBUM, ANTIMICROBIAL, SKIN CONDITIONING, SKIN PROTECTING
89457;(LEPIDIUM MEYENII/SARCODON ASPRATUS) ROOT WATER;ANTI-SEBUM, ANTIOXIDANT, SKIN CONDITIONING, SKIN PROTECTING
97163;(LESPEDEZA BICOLOR/PHELLODENDRON AMURENSE BARK)/MENTHA ARVENSIS LEAF/(ANEMARRHENA ASPHODELOIDES/SCUTELLARIA BAICALENSIS ROOT) EXTRACT;SKIN CONDITIONING
96674;(LICORICE/REYNOUTRIA JAPONICA) ROOT/STEM EXTRACT;ANTIOXIDANT
90728;(LINDERA STRYCHNIFOLIA/PAEONIA ALBIFLORA) ROOT/COMMIPHORA MYRRHA RESIN/SWERTIA JAPONICA/UNCARIA GAMBIR EXTRACT;SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT
94895;(LIQUIDAMBAR FORMOSANA/TRIBULUS TERRESTRIS) FRUIT/PAEONIA LACTIFLORA ROOT EXTRACT ;SKIN CONDITIONING
89461;(MAGNOLIA OFFICINALIS/PHELLODENDRON AMURENSE) BARK/CAMELLIA JAPONICA LEAF/ZINGIBER OFFICINALE ROOT/CITRUS PARADISI SEED WATER;ANTI-SEBUM, ANTIMICROBIAL, ANTIOXIDANT, SKIN CONDITIONING
95360;(PAEONIA LACTIFLORA BARK/SAP)/PHELLODENDRON AMURENSE BARK/MENTHA ARVENSIS LEAF/SCUTELLARIA BAICALENSIS ROOT EXTRACT;HUMECTANT, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT
97167;(PANAX GINSENG MERISTEM CELL + TAXUS CUSPIDATA MERISTEM CELL CULTURE CONDITIONED MEDIA + PANAX GINSENG LEAF/ROOT/STEM POWDER) EXTRACT;ANTIOXIDANT
97098;(SH-PENTAPEPTIDE-10 6-AMINOCAPROOYL SH-PENTAPEPTIDE-11) SP;HUMECTANT, SKIN CONDITIONING
39661;1,1-DIMETHYL-2-PHENYLETHYL ISOBUTYRATE;PERFUMING
39242;1,1-DIMETHYL-3-PHENYLPROPYL ISOBUTYRATE;PERFUMING
54168;1,10-DECANEDIOL;SOLVENT
40512;1,2,3,4,4A,5,6,7-OCTAHYDRO-2,5,5-TRIMETHYL-2-NAPHTHOL;PERFUMING
40507;1,2,3,4,4A,7,8,8A-OCTAHYDRO-2,4A,5,8A-TETRAMETHYL-NAPHTHYL FORMATE;PERFUMING
31464;1,2,4-BENZENETRIACETATE;HAIR DYEING
31465;1,2,4-TRIHYDROXYBENZENE;HAIR DYEING
31466;1,2,6-HEXANETRIOL;HUMECTANT, SOLVENT, VISCOSITY CONTROLLING
97358;1,2-BIS-(2-AMINOETHOXY)ETHANE;NOT REPORTED
54169;1,2-BUTANEDIOL;HUMECTANT, SKIN CONDITIONING, SOLVENT, VISCOSITY CONTROLLING
39563;1,2-DIHYDROLINALOOL;PERFUMING
54170;1,2-HEXANEDIOL;SKIN CONDITIONING, SOLVENT
91167;1,2-HEXANEDIYL DICAPRATE;BLEACHING
98018;1,3,4,6-TETRAMETHYL-2-PYRIMIDONE SULFATE;HAIR DYEING
92607;1,3-BIS-(2,4-DIAMINOPHENOXY) PROPANE HCL ;NOT REPORTED
31467;1,3-BIS-(2,4-DIAMINOPHENOXY)PROPANE;HAIR DYEING
41535;1,3-BIS-(2,4-DIAMINOPHENOXY)PROPANE HCL;HAIR DYEING
95280;1,3-BIS-(ISOCYANATOMETHYL) CYCLOHEXANE;NOT REPORTED
39658;1,3-DIMETHYL-3-PHENYLBUTYL ACETATE;PERFUMING
39592;1,3-DIMETHYL-BICYCLOHEPTANE-2-CARBONITRILE;PERFUMING
54173;1,4-BUTANEDIOL;SOLVENT
88106;1,4-BUTANEDIOL BISDECANOATE;BLEACHING
83239;1,4-BUTANEDIOL DIMETHACRYLATE;FILM FORMING
96917;1,4-BUTANEDIOL/SUCCINIC ACID/ADIPIC ACID COPOLYMER;ABRASIVE
92811;1,4-BUTANEDIOL/SUCCINIC ACID/ADIPIC ACID/HDI COPOLYMER;ABRASIVE, BINDING, FILM FORMING
97446;1,4-CYCLOHEXANEDICARBOXYLIC ACID;NOT REPORTED
88105;1,4-CYCLOHEXANEDIOL BIS-ETHYLHEXANOATE;BLEACHING
41232;1,5,9-TRIMETHYL-OXABICYCLOTRIDECADIENE;PERFUMING
39259;1,5-DIMETHYL-1-VINYLHEX-4-ENYL HEXANOATE;PERFUMING
31468;1,5-NAPHTHALENEDIOL;HAIR DYEING
81397;1,5-PENTANEDIOL;SOLVENT
96417;1,6-HDI/POLYVINYL ALCOHOL/ETHYLENEDIAMINE CROSSPOLYMER;FILM FORMING
95281;1,6-HEXAMETHYLENE DIISOCYANATE;NOT REPORTED
83542;1,6-HEXANEDIAMINE;BUFFERING
41708;1,7-NAPHTHALENEDIOL;HAIR DYEING
54176;1-ACETONAPHTHONE;FRAGRANCE, PERFUMING
31469;1-ACETOXY-2-METHYLNAPHTHALENE;HAIR DYEING
98015;1-ALLYL-3,4,6-TRIMETHYL-2-PYRIMIDONE BROMIDE;HAIR DYEING
39894;1-ETHYL-3-METHOXY-TRICYCLOHEPTANE;PERFUMING
39841;1-ETHYLCYCLOHEXANE-1,4-DIMETHANOL;PERFUMING
40009;1-FURFURYL-1H-PYRROLE;PERFUMING
40188;1-HEXEN-3-OL;PERFUMING
92298;1-HEXYL 4,5-DIAMINO PYRAZOLE SULFATE;HAIR DYEING
54177;1-HYDROXYETHYL 4,5-DIAMINO PYRAZOLE SULFATE;HAIR DYEING
39712;1-ISOPROPYL-4-METHYLBICYCLOOCTENE-2-CARBALDEHYDE;PERFUMING
40717;1-METHYL-4-METHYLETHENYL-CYCLOHEXENE SULFURIZED;PERFUMING
40729;1-METHYL-4-METHYLVINYL-CYCLOHEXANOL;PERFUMING
40731;1-METHYL-4-METHYLVINYL-CYCLOHEXENE;PERFUMING
40732;1-METHYL-4-METHYLVINYL-CYCLOHEXYL ACETATE;PERFUMING
40661;1-METHYLDECYL ACETATE;PERFUMING
54178;1-METHYLHYDANTOIN-2-IMIDE;SKIN CONDITIONING
90935;1-NAPHTHALENEACETIC ACID;SKIN CONDITIONING
31470;1-NAPHTHOL;HAIR DYEING
95453;1-NITROPROPANE;SOLVENT
40994;1-NONEN-3-OL;PERFUMING
40582;1-PENTEN-3-OL;PERFUMING
40643;1-PHENYLPROPYL ACETATE;PERFUMING
41201;1-TRIMETHYL-2-CYCLOHEXENYL-1-PENTEN-3-ONE;PERFUMING
41199;1-TRIMETHYL-3-CYCLOHEXENYLETHANONE;PERFUMING
40282;10-HYDROXY-1,8-P-MENTHADIENE;PERFUMING
54174;10-HYDROXYDECANOIC ACID;SKIN CONDITIONING
54175;10-HYDROXYDECENOIC ACID;SKIN CONDITIONING
92027;10-HYDROXYSTEARIC ACID;SKIN CONDITIONING, SKIN PROTECTING
41275;10-UNDECENYL ACETATE;PERFUMING
98168;16-ALPHA ETHYL ESTRADIOLCARBOXYLATE;SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, SKIN PROTECTING
98002;16-BETA METHYL ESTRADIOLPROPANOATE;SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, SKIN PROTECTING
96737;2'-DEOXYADENOSINE;HAIR CONDITIONING
41601;2,2'-METHYLENEBIS-4-AMINOPHENOL;HAIR DYEING
54179;2,2'-METHYLENEBIS-4-AMINOPHENOL HCL;HAIR DYEING
31471;2,2'-THIOBIS(4-CHLOROPHENOL);ANTIMICROBIAL
39241;2,2-DIMETHYL-3-PHENYLPROPIONALDEHYDE;PERFUMING
40511;2,3,4,4A,5,6,7,8-OCTAHYDRO-2,5,5-TRIMETHYL-2-NAPHTHOL;PERFUMING
41205;2,3,6-TRIMETHYLCYCLOHEXYLMETHYL ACETATE;PERFUMING
41239;2,3,6-TRIMETHYLPHENOL;PERFUMING
54180;2,3-BUTANEDIOL;FRAGRANCE, HUMECTANT, SKIN CONDITIONING, SOLVENT
83274;2,3-DIAMINODIHYDROPYRAZOLO PYRAZOLONE DIMETHOSULFONATE;HAIR DYEING
39542;2,3-DIETHYLPYRAZINE;PERFUMING
39582;2,3-DIHYDRO-2,2,6-TRIMETHYLBENZALDEHYDE;PERFUMING
39647;2,3-DIMETHYL-2-NONENENITRILE;PERFUMING
39254;2,3-DIMETHYL-4-(2,6,6-TRIMETHYL-1-CYCLOHEXENYL)-2-BUTENAL;PERFUMING
98022;2,3-DIMETHYL-4-FORMYL-1-PHENYL-5-PYRAZOLONE;HAIR DYEING
95298;2,3-EPOXYPROPYL COCODIMONIUM CHLORIDE;NOT REPORTED
95297;2,3-EPOXYPROPYL LAURYLDIMONIUM CHLORIDE;NOT REPORTED
95296;2,3-EPOXYPROPYLTRIMONIIUM CHLORIDE;NOT REPORTED
41693;2,3-NAPHTHALENEDIOL;HAIR DYEING
41302;2,3-XYLENOL;PERFUMING
41184;2,4,6-TRIMETHYL-3-CYCLOHEXENECARBALDEHYDE;PERFUMING
41202;2,4,6-TRIMETHYL-3-CYCLOHEXENYL-4-PENTEN-3-ONE;PERFUMING
41241;2,4,6-TRIMETHYL-4-PHENYL-1,3-DIOXANE;PERFUMING
41206;2,4,6-TRIMETHYLCYCLOHEXYLMETHYL ACETATE;PERFUMING
41707;2,4-DIAMINO-5-METHYLPHENETOLE HCL;HAIR DYEING
54182;2,4-DIAMINO-5-METHYLPHENOXYETHANOL;HAIR DYEING
31472;2,4-DIAMINO-5-METHYLPHENOXYETHANOL HCL;HAIR DYEING
41694;2,4-DIAMINODIPHENYLAMINE;HAIR DYEING
31473;2,4-DIAMINOPHENOL;HAIR DYEING
31475;2,4-DIAMINOPHENOL HCL;HAIR DYEING
31476;2,4-DIAMINOPHENOXYETHANOL HCL;HAIR DYEING
54183;2,4-DIAMINOPHENOXYETHANOL SULFATE;HAIR DYEING
39541;2,4-DIETHYLPHENYL METHYL KETONE;PERFUMING
39607;2,4-DIMETHYL CYCLOHEXENECARBONITRILE;PERFUMING
39251;2,4-DIMETHYL-2-(5,6,7,8-TETRAHYDRO-3,5,5,6,8,8-HEXAMETHYL-2-NAPHTHALENYL)-1,3-DIOXOLANE;PERFUMING
74061;2,4-DIMETHYL-3-CYCLOHEXENE CARBOXALDEHYDE;FRAGRANCE, PERFUMING, TONIC
39608;2,4-DIMETHYL-3-CYCLOHEXENE-1-METHANOL;PERFUMING
39610;2,4-DIMETHYL-3-CYCLOHEXENE-1-METHYLACETATE;PERFUMING
39585;2,4-DIMETHYL-4,4A,5,9B-TETRAHYDROINDENO-1,3-DIOXIN;PERFUMING
39243;2,4-DIMETHYL-4-PHENYLTETRAHYDROFURAN;PERFUMING
39587;2,4-DIMETHYLBENZYLACETATE;PERFUMING
39619;2,4-DIMETHYLCYCLOHEXYLMETHYL ACETATE;PERFUMING
39627;2,4-DIMETHYLHEPTA-2,2-DIENAL;PERFUMING
39247;2,4-DIMETHYLPYRIDINE;PERFUMING
40140;2,4-HEXADIENAL;PERFUMING
40142;2,4-HEXADIENOL;PERFUMING
40143;2,4-HEXADIENYL ACETATE;PERFUMING
41303;2,4-XYLENOL;PERFUMING
41240;2,5,5-TRIMETHYL-2-PHENYL-1,3-DIOXANE;PERFUMING
54184;2,5,6-TRIAMINO-4-PYRIMIDINOL SULFATE;HAIR DYEING
41193;2,5,6-TRIMETHYL-2-CYCLOHEXENONE;PERFUMING
39571;2,5-DIHYDRO-4-METHYLTHIAZOL-5-ETHANOL;PERFUMING
82881;2,5-DIHYDROXYBENZOIC ACID;SKIN CONDITIONING
96542;2,5-DIHYDROXYBENZOYL DIPEPTIDE-27;HUMECTANT, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, SKIN PROTECTING
96541;2,5-DIHYDROXYBENZOYL DIPEPTIDE-48;HUMECTANT, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, SKIN PROTECTING
39258;2,5-DIMETHYL-2-VINYLHEX-4-ENAL;PERFUMING
39245;2,5-DIMETHYLPYRAZINE;PERFUMING
41304;2,5-XYLENOL;PERFUMING
41180;2,6,6-TRIMETHYL-1-CYCLOHEXENE-1-ACETALDEHYDE;PERFUMING
41181;2,6,6-TRIMETHYL-2-CYCLOHEXENE-1-ACETALDEHYDE;PERFUMING
41182;2,6,6-TRIMETHYL-2-CYCLOHEXENE-1-CARBALDEHYDE;PERFUMING
41185;2,6,6-TRIMETHYLCYCLOHEXENE-1-CARBALDEHYDE;PERFUMING
41695;2,6-BIS(2-HYDROXYETHOXY)-3,5-PYRIDINEDIAMINE HCL;HAIR DYEING
31478;2,6-DIAMINO-3-((PYRIDIN-3-YL)AZO)PYRIDINE;HAIR DYEING
31479;2,6-DIAMINOPYRIDINE;HAIR DYEING
31480;2,6-DIAMINOPYRIDINE SULFATE;HAIR DYEING
31481;2,6-DICARBOXYPYRIDINE;CHELATING
41525;2,6-DIHYDROXY-3,4-DIMETHYLPYRIDINE;HAIR DYEING
54186;2,6-DIHYDROXYETHYLAMINOTOLUENE;HAIR DYEING
31482;2,6-DIMETHOXY-3,5-PYRIDINEDIAMINE HCL;HAIR DYEING
39630;2,6-DIMETHYL-4-HEPTANOL;PERFUMING
39631;2,6-DIMETHYL-4-HEPTANONE;PERFUMING
74068;2,6-DIMETHYL-7-OCTEN-2-OL;FRAGRANCE, PERFUMING
54187;2,6-DIMETHYL-P-PHENYLENEDIAMINE;HAIR DYEING
54188;2,6-DIMETHYL-P-PHENYLENEDIAMINE HCL;HAIR DYEING
39628;2,6-DIMETHYLHEPTA-1,5-DIENE;PERFUMING
39629;2,6-DIMETHYLHEPTANOL;PERFUMING
39246;2,6-DIMETHYLPYRAZINE;PERFUMING
41305;2,6-XYLENOL;PERFUMING
39639;2,7-DIMETHYL-10-ISOPROPYL-1-OXASPIRO-3,6-DECADIENE;PERFUMING
39654;2,7-DIMETHYL-5-OCTEN-4-ONE;PERFUMING
39656;2,7-DIMETHYL-6-OCTEN-4-ONE;PERFUMING
31484;2,7-NAPHTHALENEDIOL;HAIR DYEING
39926;2-(1-ETHYLPROPYL)PYRIDINE;PERFUMING
82367;2-(2-AMINOETHOXY)ETHANOL;HAIR FIXING
54189;2-ACETONAPHTHONE;FRAGRANCE, PERFUMING
54190;2-ACETYLHYDROQUINONE;ANTIOXIDANT, BLEACHING, SKIN CONDITIONING
95290;2-ACRYLAMIDO-2-METHYLPROPANE SULFONIC ACID;NOT REPORTED
98467;2-ALLYLOXYETHOXY GLUCOSIDE;NOT REPORTED
31485;2-AMINO-3-HYDROXYPYRIDINE;HAIR DYEING
31486;2-AMINO-3-NITROPHENOL;HAIR DYEING
54191;2-AMINO-4,5-DIMETHYLTHIAZOLE HBR;SKIN CONDITIONING
31487;2-AMINO-4-HYDROXYETHYLAMINOANISOLE;HAIR DYEING
31488;2-AMINO-4-HYDROXYETHYLAMINOANISOLE SULFATE;HAIR DYEING
84490;2-AMINO-4-NITROPHENOL;HAIR DYEING
54192;2-AMINO-4-NITROPHENOL SULFATE;HAIR DYEING
83518;2-AMINO-5-ETHYLPHENOL HCL;HAIR DYEING
54193;2-AMINO-5-NITROPHENOL;HAIR DYEING
31489;2-AMINO-6-CHLORO-4-NITROPHENOL;HAIR DYEING
74075;2-AMINOBUTANOL;BUFFERING
31491;2-AMINOMETHYL-P-AMINOPHENOL HCL;HAIR DYEING
83041;2-BENZYLHEPTANOL;FRAGRANCE, PERFUMING
31492;2-BROMO-2-NITROPROPANE-1,3-DIOL;PRESERVATIVE
98025;2-CAPRYLOYL CAPRYLOYL METHYL ALANINATE;ANTI-SEBUM, HAIR CONDITIONING, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, SKIN PROTECTING
39281;2-CARENYL METHYL KETONE;PERFUMING
31493;2-CHLORO-5-NITRO-N-HYDROXYETHYL-P-PHENYLENEDIAMINE;HAIR DYEING
31494;2-CHLORO-6-ETHYLAMINO-4-NITROPHENOL;HAIR DYEING
31495;2-CHLORO-P-PHENYLENEDIAMINE;HAIR DYEING
74079;2-CHLORO-P-PHENYLENEDIAMINE SULFATE;HAIR DYEING
98019;2-CYANOMETHYL BENZIMIDAZOLE;HAIR DYEING
39432;2-CYCLOHEXENYL CYCLOHEXANONE;PERFUMING
88284;2-CYCLOHEXYLETHYL ACETATE;FLAVOURING, FRAGRANCE
39505;2-DECENAL;PERFUMING
39506;2-DECENOL;PERFUMING
39595;2-DIMETHYLBICYCLOHEPT-2-YLIDENE ETHANOL;PERFUMING
39614;2-DIMETHYLCYCLOHEXENYL-5-METHYL-5-METHYLPROPYL-1,3-DIOXANE;PERFUMING
39799;2-DODECENAL;PERFUMING
39802;2-DODECENOL;PERFUMING
